scaffold_id,scaffold_name,murcko_smiles,generic_murcko_smiles,source_classes,representative_molecules,best_fxia_activity,median_fxia_activity,activity_tier,selectivity_evidence,pdb_evidence,sar_depth,patent_crowding,synthetic_accessibility,generation_suitability,recommended_generation_methods,key_exit_vectors,known_liabilities,priority_score,decision,notes
FXIA-SCAF-0342,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@@H]1c2cccc(N3CCCC3)c2CCN1C(=O)/C=C/c1ccccc1-n1cnnn1,CC(CCC1CCCCC1C1CCCC1)C1CCC2C(C3CCCC3)CCCC2C1C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5774570;CHEMBL5857238;CHEMBL5937352,5 nM,5 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0343,ChEMBL Murcko scaffold cluster,O=C(/C=C/c1ccccc1-n1cnnn1)NC1C/C=C\CC(=O)Nc2ccccc2-c2c[nH]c1n2,CC(CCC1CCCCC1C1CCCC1)CC1CCCCC(C)CC2CCCCC2C2CCC1C2,ChEMBL activity records,CHEMBL5821813;CHEMBL5772771;CHEMBL5811862,270 nM,289 nM,Tier C,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0344,ChEMBL Murcko scaffold cluster,O=C1CCCCC(c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)c2nc(c[nH]2)-c2ccccc2N1,CC1CCCCC(C2CCC(C3CCCCC3C3CCCC3)CC2)C2CCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL5832339;CHEMBL6021099;CHEMBL5822542,0.22 nM,0.51 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0345,ChEMBL Murcko scaffold cluster,O=C1CCCCC(c2ccc(-c3ccccc3-n3cnnn3)cn2)c2cccc(c2)-c2ccccc2N1,CC1CCCCC(C2CCC(C3CCCCC3C3CCCC3)CC2)C2CCCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL6063525;CHEMBL6064260;CHEMBL5969808,0.24 nM,2.76 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0346,ChEMBL Murcko scaffold cluster,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3ccnn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,CC1CCCCC(C2CCC(C3CCCCC3C3CCCC3)CC2)C2CCCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL5928310;CHEMBL5842132;CHEMBL5846377,0.13 nM,0.26 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0347,ChEMBL Murcko scaffold cluster,O=C1CCCCC(c2ccc(-c3ccccc3-n3cnnn3)cn2)c2ccnc(c2)-c2ccccc2N1,CC1CCCCC(C2CCC(C3CCCCC3C3CCCC3)CC2)C2CCCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL6063065;CHEMBL5982186;CHEMBL5856206,0.52 nM,8.9 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0348,ChEMBL Murcko scaffold cluster,O=C1CCCC[C@H](NC(=O)c2cccc(C3CC3)c2)c2cc(ccn2)-c2ccccc2N1,CC1CCCCC(CC(C)C2CCCC(C3CC3)C2)C2CCCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL5925063;CHEMBL5745048;CHEMBL5926720,30 nM,100 nM,Tier B,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0349,ChEMBL Murcko scaffold cluster,O=C1CCCC[C@H](n2ncc(-c3ccccc3)cc2=O)c2cc(ccn2)-c2ccccc2N1,CC1CCCCC(C2CCC(C3CCCCC3)CC2C)C2CCCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL4111765;CHEMBL4113520;CHEMBL4109580,0.55 nM,0.98 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0350,ChEMBL Murcko scaffold cluster,O=C1CCCC[C@H](N2CCC(c3ccccc3-c3cn[nH]c3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,CC1CCCCC(C2CCC(C3CCCCC3C3CCCC3)CC2C)C2CCCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL4106609;CHEMBL4112391;CHEMBL4115676,2.73 nM,3.02 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0351,ChEMBL Murcko scaffold cluster,c1ccc(C[C@H](c2cccc(-c3ccccc3)c2)c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)cc1,C1CCC(CC(C2CCC(C3CCCCC3C3CCCC3)CC2)C2CCCC(C3CCCCC3)C2)CC1,ChEMBL activity records,CHEMBL5910406;CHEMBL5742318;CHEMBL5879611,41 nM,232 nM,Tier B,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,9 ChEMBL assay rows; 3 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
