chunk,device,status,returncode,elapsed_sec,output_sdf,log
fxia_filtered_all_chunk_0028.sdf,3,ok,0,5893.463,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0028_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0028_gnina.log
fxia_filtered_all_chunk_0029.sdf,4,ok,0,5774.452,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0029_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0029_gnina.log
fxia_filtered_all_chunk_0030.sdf,5,ok,0,5982.147,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0030_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0030_gnina.log
fxia_filtered_all_chunk_0031.sdf,6,ok,0,5726.349,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0031_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0031_gnina.log
fxia_filtered_all_chunk_0032.sdf,7,ok,0,6021.097,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0032_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0032_gnina.log
fxia_filtered_all_chunk_0033.sdf,0,ok,0,5769.682,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0033_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0033_gnina.log
fxia_filtered_all_chunk_0034.sdf,1,ok,0,5755.539,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0034_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0034_gnina.log
fxia_filtered_all_chunk_0035.sdf,2,ok,0,5723.713,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0035_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0035_gnina.log
fxia_filtered_all_chunk_0036.sdf,3,ok,0,6067.184,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0036_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0036_gnina.log
fxia_filtered_all_chunk_0037.sdf,4,ok,0,5623.46,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0037_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0037_gnina.log
