molecule_id,name,parent_smiles,activity_type,activity_nm,source_url,confidence,notes
CHEMBL4107808,,C#Cc1ccc(Cl)c(F)c1C1=CC(=O)N([C@H]2CCC[C@@H](C)C(=O)Nc3cc(NC(=O)OC)ccc3-c3ccnc2c3)CC1,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/27608789,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL3260341,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](n1ccc(-c3c(F)ccc(Cl)c3F)cc1=O)c1cc-2ccn1,Ki,0.11,https://www.ebi.ac.uk/chembl/activity_report_card/14642928,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5862641,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(Cl)ccc3-n3cc(C4CC4)nn3)c[n+]1[O-])c1cccc-2c1,Ki,0.11,https://www.ebi.ac.uk/chembl/activity_report_card/27397292,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5934781,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3c(F)cccc3C(F)(F)F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.11,https://www.ebi.ac.uk/chembl/activity_report_card/27397625,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4115423,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(-c4c[nH]nn4)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,Ki,0.11,https://www.ebi.ac.uk/chembl/activity_report_card/27608792,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5094166,,C[C@@H]1CCC[C@H](N2CCC(c3cc(Cl)ccc3-n3cc(Cl)nn3)=CC2=O)c2cc(ccn2)-c2c(cnn2C)NC1=O,Ki,0.12,https://www.ebi.ac.uk/chembl/activity_report_card/24387452,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5175227,,Cn1nncc1-c1cnn([C@H](CCOC(F)F)c2ccc(-c3c(-n4cnnn4)ccc(Cl)c3F)c[n+]2[O-])c1,Ki,0.12,https://www.ebi.ac.uk/chembl/activity_report_card/24825250,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6001892,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(F)ccc3OC(F)F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.12,https://www.ebi.ac.uk/chembl/activity_report_card/27397637,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4063677,,COC(=O)Nc1ccc2c(c1)NC(=O)C[C@@H](C)/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/18264403,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4447001,,Cc1nc2nc(C(C)C)[nH]c2cc1-c1ccc(C[C@H](NC(=O)[C@H]2CC[C@H](CN)CC2)C(=O)Nc2ccc(-c3nnc(C(F)(F)C(F)(F)C(=O)O)[nH]3)cc2)cc1,IC50,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/19054706,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
