molecule_id,parent_smiles,parent_key,murcko_smiles,activity_type,activity_nm,assay_type,source_record_id,source_url,doi,confidence,notes
CHEMBL6034229,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]1[O-])c1cccc-2c1,QPOLNDRLBGEWMU-UHFFFAOYSA-N,O=C1CCCCC(c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,Ki,0.1,B,activity:27397196|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397196,,medium,
CHEMBL3260341,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](n1ccc(-c3c(F)ccc(Cl)c3F)cc1=O)c1cc-2ccn1,CXCGNTAXXPYSAK-QUGAMOGWSA-N,O=C1CCCC[C@H](n2ccc(-c3ccccc3)cc2=O)c2cc(ccn2)-c2ccccc2N1,Ki,0.11,B,activity:14642928|CHEMBL3271330|CHEMBL3259657,https://www.ebi.ac.uk/chembl/activity_report_card/14642928,,medium,
CHEMBL4115423,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(-c4c[nH]nn4)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,BQBGLBLZLRGLKN-WRHNGFHOSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3-c3c[nH]nn3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,Ki,0.11,B,activity:27608792|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608792,,medium,
CHEMBL5862641,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(Cl)ccc3-n3cc(C4CC4)nn3)c[n+]1[O-])c1cccc-2c1,DYLHBKKFYOXVTC-LJAQVGFWSA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3cc(C4CC4)nn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,Ki,0.11,B,activity:27397292|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397292,,medium,
CHEMBL5175227,Cn1nncc1-c1cnn([C@H](CCOC(F)F)c2ccc(-c3c(-n4cnnn4)ccc(Cl)c3F)c[n+]2[O-])c1,DLOJZKVIQCGHBL-MRXNPFEDSA-N,c1ccc(-n2cnnn2)c(-c2ccc(Cn3cc(-c4cnn[nH]4)cn3)[nH+]c2)c1,Ki,0.12,B,activity:24825250|CHEMBL5141365|CHEMBL5137069,https://www.ebi.ac.uk/chembl/activity_report_card/24825250,,medium,
CHEMBL4447001,Cc1nc2nc(C(C)C)[nH]c2cc1-c1ccc(C[C@H](NC(=O)[C@H]2CC[C@H](CN)CC2)C(=O)Nc2ccc(-c3nnc(C(F)(F)C(F)(F)C(=O)O)[nH]3)cc2)cc1,ZJYAXUISSVXYQC-HTLVZCCDSA-N,O=C(N[C@@H](Cc1ccc(-c2cnc3nc[nH]c3c2)cc1)C(=O)Nc1ccc(-c2nnc[nH]2)cc1)C1CCCCC1,IC50,0.13,B,activity:19054706|CHEMBL4356319|CHEMBL4354815,https://www.ebi.ac.uk/chembl/activity_report_card/19054706,,medium,
CHEMBL5204065,Cn1nncc1-c1cnn([C@H](Cc2ccc(F)cc2)c2ccc(-c3c(-n4cnnn4)ccc(Cl)c3F)c[n+]2[O-])c1,QPWVZPJRCXDJRH-HSZRJFAPSA-N,c1ccc(C[C@H](c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)n2cc(-c3cnn[nH]3)cn2)cc1,Ki,0.13,B,activity:24825248|CHEMBL5141365|CHEMBL5137069,https://www.ebi.ac.uk/chembl/activity_report_card/24825248,,medium,
CHEMBL5928310,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)c[n+]1[O-])c1cccc-2c1,FZFPYNKLVBCZMF-SANMLTNESA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3ccnn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,Ki,0.13,B,activity:27397289|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397289,,medium,
CHEMBL5978240,CCc1[nH]c2nc1-c1ccc(NC(=O)OC)cc1NC(=O)CCCCC2c1ccc(-c2c(F)ccc(Cl)c2F)c[n+]1[O-],YWANJCPORQUSJY-UHFFFAOYSA-N,O=C1CCCCC(c2ccc(-c3ccccc3)c[nH+]2)c2nc(c[nH]2)-c2ccccc2N1,Ki,0.13,B,activity:27397577|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397577,,medium,
CHEMBL6167004,CC[C@@H](c1cc(-c2ccc(N)nc2)ccn1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnnn2)cc1=O,YRLUYIQBVFUUHF-QFIPXVFZSA-N,O=c1cc(-c2ccccc2-n2cnnn2)ccn1Cc1cc(-c2cccnc2)ccn1,IC50,0.13,B,activity:29174294|CHEMBL6110385|CHEMBL6109084,https://www.ebi.ac.uk/chembl/activity_report_card/29174294,,medium,
CHEMBL5795968,O=C(O)c1ccc(NC(=O)[C@H](C[C@H]2CC[C@H](O)CC2)c2ccc(-c3c(OC(F)F)ccc(Cl)c3F)c[n+]2[O-])cc1,WVAWTXJGGXPRFT-CDHQVMDDSA-N,O=C(Nc1ccccc1)[C@H](CC1CCCCC1)c1ccc(-c2ccccc2)c[nH+]1,IC50,0.14,B,activity:27037682|CHEMBL5731749|CHEMBL5725953,https://www.ebi.ac.uk/chembl/activity_report_card/27037682,,medium,
CHEMBL5843501,O=C(O)c1ccc(NC(=O)[C@H](CC2CC2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1,LTGICARJTJRTII-OAQYLSRUSA-N,O=C(Nc1ccccc1)[C@H](CC1CC1)c1ccc(-c2ccccc2-n2cnnn2)c[nH+]1,IC50,0.14,B,activity:27323927|CHEMBL5732715|CHEMBL5726456,https://www.ebi.ac.uk/chembl/activity_report_card/27323927,,medium,
CHEMBL5879132,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)cccc3F)c[n+]1[O-])c1nc-2c(C2CC2)[nH]1,LPVUJSLNFIOCKO-VGOFRKELSA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3)c[nH+]2)c2nc(c(C3CC3)[nH]2)-c2ccccc2N1,Ki,0.14,B,activity:27397694|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397694,,medium,
CHEMBL5966546,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]1[O-])c1cc-2[n+]([O-])cc1F,OMMREAWBRLWOAO-UHFFFAOYSA-N,O=C1CCCCC(c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)c2cc[nH+]c(c2)-c2ccccc2N1,Ki,0.14,B,activity:27397448|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397448,,medium,
CHEMBL6036933,C[C@@H]1CCC[C@H](c2ccc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)c[n+]2[O-])c2cccc(c2)-c2c(cnn2C(F)F)NC1=O,WYSPEEWZMDMZCQ-VGSWGCGISA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3ccnn3)c[nH+]2)c2cccc(c2)-c2[nH]ncc2N1,Ki,0.14,B,activity:27397811|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397811,,medium,
CHEMBL5780336,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)ccc(Cl)c3F)c[n+]1[O-])c1cc-2ncc1F,GNEYFEXMAZDVQB-APWZRJJASA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3)c[nH+]2)c2ccnc(c2)-c2ccccc2N1,Ki,0.16,B,activity:27397415|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397415,,medium,
CHEMBL6008405,N[C@@H](CCCCNC(=O)CN1CC=C(c2cccc3c2CCN(C(=O)[C@H]2CC(c4cccc(Cl)c4F)=NO2)[C@@H]3C(=O)Nc2ccc(C(=O)O)cc2)CC1)C(=O)O,CXXTXQGAYWDPOM-ZYPDKHHRSA-N,O=C(Nc1ccccc1)[C@@H]1c2cccc(C3=CCNCC3)c2CCN1C(=O)[C@H]1CC(c2ccccc2)=NO1,IC50,0.16,B,activity:28881254|CHEMBL5738843|CHEMBL5729511,https://www.ebi.ac.uk/chembl/activity_report_card/28881254,,medium,
CHEMBL6044161,O=C(O)c1ccc(NC(=O)[C@H](Cc2ccccc2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1,YUWLGIZXLRBQBZ-XMMPIXPASA-N,O=C(Nc1ccccc1)[C@H](Cc1ccccc1)c1ccc(-c2ccccc2-n2cnnn2)c[nH+]1,IC50,0.16,B,activity:27323810|CHEMBL5732715|CHEMBL5726456,https://www.ebi.ac.uk/chembl/activity_report_card/27323810,,medium,
CHEMBL4107795,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C(C)=O)ccc(Cl)c3F)=CC1=O)c1cccc-2c1,XTUFVXUJJQAYGD-XBBWARJSSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cccc(c2)-c2ccccc2N1,Ki,0.17,B,activity:27608759|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608759,,medium,
